#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
428,"Flat Foot Face","Stan SB",174,1A,49,2023-03-20,03:48,28,"liquid funk, drum and bass, drumstep, chillstep, dubstep","Anyone Out There",2013-01-13,45,3,0,28,0,0,-6,G#/A♭ Minor,4,0tV6B9OPn1unffvqzj4dvA,GB7H81200024,no
429,"I Remember","Tristam",110,11A,64,2023-03-20,03:56,53,"dubstep, drumstep, edm, chillstep","I Remember",2012-05-29,56,1,50,4,0,0,-9,F#/G♭ Minor,4,5kc94sZMpuzSZdbfiCr0gh,TCABG1223456,no
430,"To The Stars","Braken",175,4A,91,2023-03-20,03:22,44,"dubstep, drumstep","To The Stars",2013-10-21,47,1,67,14,0,10,-6,F Minor,4,5QW0Qa1CS4XcJs2pmAgXKS,TCABS1341022,no
431,"Skywards","TwoThirds,Lambert McGaughy",130,8A,86,2023-03-20,05:54,25,"chillstep, liquid funk, drumstep, drum and bass, dubstep","Skywards",2012-12-20,67,0,80,57,0,10,-5,A Minor,4,3UtOXWzil2LXJgwtTtWzFY,TCABL1374360,no
432,"Just A Dream - Main","Nelly",180,3B,75,2011-02-06,03:57,0,"","Just A Dream",2010-08-13,46,4,0,12,0,10,-6,C♯/D♭ Major,4,63EadEcC2ZwLencVf12SmI,USUM71020948,no
433,"Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack","Flo Rida",128,8B,88,2011-02-06,03:52,61,"","Club Can't Handle Me",2010-06-28,62,2,0,53,0,10,-3,C Major,4,0xcl9XT60Siji6CSG4y6nb,USAT21001208,no
434,"Break Your Heart","Taio Cruz",122,5B,93,2023-03-20,03:21,72,"","The Rokstarr Hits Collection",2010-01-01,61,3,0,57,0,0,-4,D#/E♭ Major,4,7ElF5zxOwYP4qVSWVvse3W,GBUM70908662,no
435,"TiK ToK","Kesha",120,7A,84,2023-03-20,03:19,88,"","Animal (Expanded Edition)",2010-01-01,76,10,0,71,10,20,-3,D Minor,4,0HPD5WQqrq7wPWR7P7Dw1i,USRC10900433,no
436,"Dynamite","Taio Cruz",120,12B,78,2023-03-20,03:22,78,"","The Rokstarr Hits Collection",2010-01-01,75,0,0,81,0,0,-4,E Major,4,2CEgGE6aESpnmtfiZwYlbV,GBUM71003721,no
437,"I Gotta Feeling","Black Eyed Peas",128,8B,77,2023-03-20,04:49,87,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,74,9,0,61,0,50,-6,C Major,4,4kLLWz7srcuLKA7Et40PQR,USUM70965169,no
